"filename", "language", "JSON", "C#", "XML", "aspnetcorerazor", "Markdown", "Properties", "JavaScript", "CSS", "SCSS", "Less", "Ignore", "PowerShell", "comment", "blank", "total"
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\normalize.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 179, 0, 0, 164, 87, 430
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\pager.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 3, 7, 55
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\pagination.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 7, 8, 87
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\panels.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 213, 0, 0, 28, 33, 274
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\popovers.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 8, 11, 127
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\print.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 10, 18, 102
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\progress-bars.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 23, 18, 90
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\responsive-embed.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 5, 36
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\responsive-utilities.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 24, 21, 197
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\scaffolding.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 35, 35, 162
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\tables.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 159, 0, 0, 40, 38, 237
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\theme.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 188, 0, 0, 57, 53, 298
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\thumbnails.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 7, 7, 39
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\tooltip.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 9, 8, 113
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\type.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 213, 0, 0, 44, 48, 305
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\utilities.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 14, 14, 58
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\variables.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 387, 0, 0, 279, 206, 872
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\less\wells.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 4, 30
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\nuget\MyGet.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 3, 9
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\nuget\bootstrap.less.nuspec", "XML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\nuget\bootstrap.nuspec", "XML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\package-lock.json", "JSON", 8870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8871
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\package.js", "JavaScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 4, 33
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\bootstrap\package.json", "JSON", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 102
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\.bower.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\.npmignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 1, 7, 43
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\bower.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\css\font-awesome.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 2327, 0, 0, 0, 0, 10, 1, 2338
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\css\font-awesome.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 5
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\fonts\fontawesome-webfont.svg", "XML", 0, 0, 2671, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2672
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\less\animated.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 2, 5, 35
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\less\bordered-pulled.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 6, 26
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\less\core.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 3, 13
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\less\fixed-width.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 1, 7
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\less\font-awesome.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 4, 2, 19
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\less\icons.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 786, 0, 0, 2, 2, 790
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\less\larger.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 2, 14
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\less\list.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 2, 20
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\less\mixins.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 10, 10, 61
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\less\path.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 2, 16
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\less\rotated-flipped.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 5, 21
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\less\screen-reader.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 6
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\less\stacked.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 2, 2, 21
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\less\variables.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 794, 0, 0, 3, 4, 801
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\scss\_animated.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 2, 5, 35
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\scss\_bordered-pulled.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 6, 26
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\scss\_core.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 3, 13
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\scss\_fixed-width.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 1, 7
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\scss\_icons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 786, 0, 0, 0, 2, 2, 790
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\scss\_larger.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 2, 14
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\scss\_list.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 2, 20
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\scss\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 10, 10, 61
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\scss\_path.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 2, 16
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\scss\_rotated-flipped.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 5, 21
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\scss\_screen-reader.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 6
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\scss\_stacked.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 2, 21
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\bower_components\font-awesome\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 794, 0, 0, 0, 3, 4, 801
